Case_ID,Person_ID,Age_Group,Gender,Last_Latitude,Last_Longitude,Last_Seen_Time,Day,Weather,Usual_Area,Average_Distance,Average_Speed,Previous_Area,Time_Since_Last_Seen,Target_Area
MP-2026-017,P017,18-25,Not Specified,40.0508149,116.0879816,2009-04-05 03:11:24,Sunday,Rain,9,0.0026982035784389,4.856766441190068,9,8,9
MP-2026-018,P018,18-25,Female,39.8873016,116.2585016,2009-06-08 22:47:37,Monday,Cloudy,1,0.0005946158087757,0.7135389705308653,1,8,1
MP-2026-019,P019,26-35,Female,39.889009,116.438264,2009-11-28 02:24:49,Saturday,Cloudy,1,0.00129383249541,4.657796983476356,1,4,1
MP-2026-020,P020,26-35,Male,39.978515,116.2946233,2009-03-11 09:53:22,Wednesday,Rain,9,0.0011624506769057,4.184822436860792,9,2,9
MP-2026-021,P021,26-35,Female,39.982509,116.450623,2011-05-15 02:35:01,Sunday,Cloudy,9,0.0031598256927269,11.375372493816863,9,8,9
MP-2026-022,P022,46-60,Female,39.953917,116.493197,2008-09-07 03:39:15,Sunday,Rain,1,0.0004325219776712,0.3114158239232761,1,8,1
MP-2026-023,P023,36-45,Male,40.3608716666667,116.015796666667,2011-10-23 03:00:18,Sunday,Cloudy,9,0.0004236543066363,0.0,9,6,9
MP-2026-024,P024,46-60,Male,39.986999,116.401383,2008-07-29 14:14:03,Tuesday,Cloudy,9,0.0247921737863339,44.62591281540105,9,6,9
MP-2026-025,P025,46-60,Female,39.9591783,116.3550133,2008-10-24 16:33:14,Friday,Clear,9,0.0032726529612877,11.781550660636048,9,4,9
MP-2026-026,P026,46-60,Male,39.993665,116.326879,2008-10-14 10:21:43,Tuesday,Clear,9,0.0010229946539351,1.841390377083283,9,6,9
MP-2026-027,P027,36-45,Male,39.818389,116.448177,2010-04-03 08:54:02,Saturday,Clear,1,0.0031659922024537,11.397571928833669,1,1,1
MP-2026-028,P028,36-45,Male,39.9914433,116.3318266,2008-06-10 14:39:29,Tuesday,Clear,9,0.0014249888317446,1.7099865980936306,9,4,9
MP-2026-029,P029,46-60,Not Specified,39.9270049,116.3896466,2009-02-12 14:40:42,Thursday,Rain,1,0.0092434054685405,33.27625968674593,1,3,1
MP-2026-030,P030,18-25,Not Specified,39.8364266,115.57466,2009-07-05 06:31:17,Sunday,Rain,1,0.0012895560324086,2.321200858335485,1,1,1
MP-2026-031,P031,36-45,Male,43.705284,7.262357,2009-05-02 07:31:01,Saturday,Cloudy,3,0.0012057869996195,0.8681666397260583,3,2,3
MP-2026-032,P032,18-25,Not Specified,39.97694,116.328549,2008-05-22 03:57:55,Thursday,Clear,9,0.0063054820966566,22.69973554796384,9,4,9
MP-2026-033,P033,26-35,Male,39.906558,116.399866,2009-02-14 11:38:23,Saturday,Rain,1,0.0114297643496937,41.14715165889748,1,8,1
MP-2026-034,P034,46-60,Male,39.985357,116.334334,2009-06-09 03:11:23,Tuesday,Rain,9,0.0152505402724547,54.90194498083695,9,4,9
MP-2026-035,P035,46-60,Female,39.834945,115.5764716,2009-07-05 06:11:28,Sunday,Rain,1,0.00171731021822,3.0911583927960913,1,3,1
MP-2026-036,P036,18-25,Not Specified,39.999879,116.321884,2008-07-18 13:32:24,Friday,Clear,9,0.0010228296115047,3.6821866014172393,9,8,9
MP-2026-037,P037,36-45,Male,40.463784,115.994738,2009-01-28 06:39:43,Wednesday,Clear,0,8.151013842268538e-05,0.0586872996643334,0,2,0
MP-2026-038,P038,36-45,Not Specified,39.966583,116.483883,2008-11-15 04:06:04,Saturday,Cloudy,9,0.0005153267804036,0.927588204726548,9,3,9
MP-2026-039,P039,18-25,Not Specified,39.98995,116.3062399,2008-08-21 20:48:13,Thursday,Rain,9,0.0085192819078684,15.33470743416318,9,2,9
MP-2026-040,P040,26-35,Male,39.99083,116.463457,2011-02-04 10:54:42,Friday,Rain,9,0.0109066555599185,19.631980007853397,9,1,9
MP-2026-041,P041,46-60,Male,41.011965,117.9024983,2009-04-05 08:54:30,Sunday,Cloudy,0,0.020137371568897,36.247268824014704,0,6,0
MP-2026-042,P042,36-45,Not Specified,39.7359333,116.1297016,2009-04-28 10:19:54,Tuesday,Clear,1,0.0010504488240862,1.890807883355308,1,3,1
MP-2026-043,P043,18-25,Male,39.9945907666667,116.199150083333,2009-08-18 09:32:23,Tuesday,Rain,9,0.0012991863323642,2.338535398255601,9,3,9
MP-2026-044,P044,36-45,Female,39.7785649,116.3370066,2009-05-22 00:55:36,Friday,Cloudy,1,0.0081283619762786,29.262103114603267,1,2,1
MP-2026-045,P045,18-25,Female,39.992428,116.326254,2008-11-11 11:14:31,Tuesday,Clear,9,0.0034942905693103,4.193148683172457,9,6,9
MP-2026-046,P046,26-35,Female,40.059019,116.583565,2009-07-04 02:15:28,Saturday,Cloudy,9,0.0038652065573405,13.914743606425908,9,3,9
MP-2026-047,P047,46-60,Female,39.9734,116.334222,2009-06-26 02:17:30,Friday,Rain,9,0.0066466812225365,4.78561048022628,9,4,9
MP-2026-048,P048,18-25,Not Specified,39.648767,118.162373,2008-09-29 23:33:34,Monday,Cloudy,1,0.0014683662184712,1.762039462165472,1,1,1
MP-2026-049,P049,18-25,Male,39.990322,116.470841,2009-10-02 04:33:03,Friday,Rain,9,0.0112468906608683,20.244403189562977,9,8,9
MP-2026-050,P050,18-25,Male,39.983243,116.332362,2008-12-11 03:47:09,Thursday,Clear,9,0.0086689231102014,6.241624639345068,9,3,9
MP-2026-051,P051,36-45,Female,39.98535068,116.451025416,2012-02-24 19:11:19,Friday,Rain,9,0.0018567345582982,1.3368488819747604,9,1,9
MP-2026-052,P052,26-35,Male,39.8166733,119.50365,2008-09-15 02:12:26,Monday,Clear,1,0.0059789437850604,10.762098813108777,1,3,1
MP-2026-053,P053,26-35,Not Specified,40.002355,116.326231,2009-07-02 04:39:30,Thursday,Rain,9,0.0166948167710183,12.020268075133233,9,8,9
MP-2026-054,P054,46-60,Male,40.0051633,116.3604266,2009-03-07 10:36:35,Saturday,Clear,9,0.0041266849704572,14.856065893646276,9,8,9
MP-2026-055,P055,18-25,Female,39.899002,116.341801,2008-10-28 09:55:22,Tuesday,Cloudy,1,0.0083607605696718,15.0493690254094,1,2,1
MP-2026-056,P056,36-45,Male,39.988054,116.428477,2009-09-06 06:51:31,Sunday,Clear,9,0.0183169590789294,32.970526342073,9,1,9
MP-2026-057,P057,46-60,Male,40.0274666,116.4328283,2008-10-01 02:29:03,Wednesday,Rain,9,0.0001792165025767,0.3225897046381968,9,1,9
MP-2026-058,P058,26-35,Female,33.679797,-117.891667,2011-08-24 15:57:06,Wednesday,Cloudy,5,0.0198995616877956,71.63842207606449,5,6,5
MP-2026-059,P059,46-60,Male,39.923204,116.414975,2008-10-07 00:45:05,Tuesday,Clear,1,0.0060546388207194,4.359339950917973,1,3,1
MP-2026-060,P060,26-35,Female,39.925358,116.346955,2009-02-06 11:58:30,Friday,Clear,1,0.0045196357861032,3.25413776599433,1,4,1
MP-2026-061,P061,26-35,Female,39.918527,116.311584,2009-04-12 04:22:54,Sunday,Rain,1,0.0,0.0,1,4,1
MP-2026-062,P062,36-45,Not Specified,39.98146,116.306562,2009-09-26 11:39:01,Saturday,Rain,9,0.0028124863601224,0.3374983632146968,9,1,9
MP-2026-063,P063,36-45,Female,39.973635,116.3116883,2009-03-17 09:47:13,Tuesday,Clear,9,0.00155948569577,2.80707425238605,9,4,9
MP-2026-064,P064,26-35,Female,39.884884,116.383471,2010-06-01 02:26:23,Tuesday,Cloudy,1,0.0220139916555047,15.850073991963454,1,3,1
MP-2026-065,P065,36-45,Male,39.923414,116.338725,2009-03-07 07:28:09,Saturday,Clear,1,0.0640454807739823,46.11274615726729,1,4,1
MP-2026-066,P066,36-45,Female,39.9910049,116.3105383,2009-04-29 12:12:33,Wednesday,Clear,9,0.0008519699868062,1.533545976251205,9,3,9
MP-2026-067,P067,46-60,Not Specified,39.981868,116.321215,2008-10-26 06:42:19,Sunday,Rain,9,8.627908908805356e-05,0.0621209441433985,9,2,9
MP-2026-068,P068,36-45,Not Specified,39.999713,116.325082,2009-05-18 10:25:33,Monday,Rain,9,0.0199322766383248,14.351239179593914,9,4,9
MP-2026-069,P069,46-60,Not Specified,35.977059,104.147541,2008-09-29 06:39:03,Monday,Clear,7,0.0118818561235655,42.77468204483601,7,1,7
MP-2026-070,P070,46-60,Not Specified,39.984856,116.352681,2008-06-11 04:24:36,Wednesday,Cloudy,9,8.519914414215872e-05,0.1533584594558857,9,1,9
MP-2026-071,P071,36-45,Male,23.474625238,120.697703427,2012-05-13 16:06:41,Sunday,Clear,4,0.0111473537423744,40.13047347254808,4,2,4
MP-2026-072,P072,36-45,Not Specified,39.939831,116.346228,2008-06-22 04:48:12,Sunday,Cloudy,1,0.0206326304289357,74.2774695441688,1,2,1
MP-2026-073,P073,36-45,Not Specified,39.9864816,116.3019099,2008-10-20 11:29:44,Monday,Cloudy,9,0.0038338826886699,6.900988839605996,9,1,9
MP-2026-074,P074,46-60,Male,39.7771616,117.231355,2008-05-01 10:39:24,Thursday,Cloudy,1,0.1596604082238713,114.95549392118735,1,1,1
MP-2026-075,P075,46-60,Female,31.7049533333333,116.469903333333,2011-05-22 10:20:49,Sunday,Clear,2,0.0247550868185794,89.11831254688609,2,6,2
MP-2026-076,P076,46-60,Not Specified,33.822848,92.321141,2008-10-01 01:41:06,Wednesday,Rain,7,0.0175555270978426,63.19989755223371,7,1,7
MP-2026-077,P077,18-25,Not Specified,39.953482,116.493346,2008-08-01 13:54:02,Friday,Rain,1,0.0005986370563819,0.4310186805950211,1,3,1
MP-2026-078,P078,46-60,Female,39.9767433,116.3750799,2008-11-29 08:28:39,Saturday,Clear,9,0.0021484397666649,7.734383159993995,9,4,9
MP-2026-079,P079,36-45,Male,39.984163,116.372438,2009-05-01 05:36:02,Friday,Cloudy,9,0.0048690814076055,8.764346533690052,9,4,9
MP-2026-080,P080,26-35,Not Specified,39.98601,116.349254,2011-03-14 09:33:22,Monday,Cloudy,9,0.0684989605420559,49.31925159028028,9,1,9
MP-2026-081,P081,36-45,Male,40.060841,116.375049,2009-08-30 06:24:31,Sunday,Clear,9,0.0017872957544062,3.217132357931309,9,2,9
MP-2026-082,P082,46-60,Female,39.634117,119.30694,2008-08-09 05:08:21,Saturday,Cloudy,1,0.0,0.0,1,2,1
MP-2026-083,P083,26-35,Not Specified,39.971869,116.418454,2009-06-30 20:53:04,Tuesday,Clear,9,0.0006595529021293,1.1871952238329149,9,1,9
MP-2026-084,P084,46-60,Male,40.033556,116.411156,2008-11-29 02:28:53,Saturday,Clear,9,0.0097172085678215,17.490975422078787,9,8,9
MP-2026-085,P085,18-25,Not Specified,39.8648149,116.4897016,2008-05-31 13:32:15,Saturday,Rain,1,0.0022788113021832,4.101860343929877,1,1,1
MP-2026-086,P086,46-60,Male,39.975994,116.330743,2008-10-22 07:48:56,Wednesday,Rain,9,8.529855235801293e-05,0.1535373942444232,9,3,9
MP-2026-087,P087,26-35,Not Specified,39.855477,116.404357,2009-02-11 23:37:42,Wednesday,Cloudy,1,0.0063166895162906,22.74008225864619,1,8,1
MP-2026-088,P088,26-35,Female,39.996047,116.417269,2008-11-28 14:10:29,Friday,Cloudy,9,8.538391617060054e-05,0.1536910491070809,9,6,9
MP-2026-089,P089,36-45,Female,39.9651916,116.3486416,2009-02-13 09:03:51,Friday,Rain,9,0.0006010481183374,1.0818866130073426,9,3,9
MP-2026-090,P090,26-35,Male,40.537721,117.110723,2009-09-02 14:49:05,Wednesday,Cloudy,0,0.060759623099308,43.746928631501795,0,1,0
MP-2026-091,P091,46-60,Not Specified,40.038832,116.328489,2009-05-04 05:04:35,Monday,Clear,9,0.0001702746483746,0.3064943670743372,9,6,9
MP-2026-092,P092,46-60,Male,39.865951,116.349502,2011-07-05 23:52:16,Tuesday,Rain,1,0.0016217937402348,1.1676914929690605,1,4,1
MP-2026-093,P093,36-45,Male,37.45224,114.607572,2009-02-13 01:23:47,Friday,Clear,6,0.0188201162705075,13.550483714765408,6,4,6
MP-2026-094,P094,46-60,Female,40.0269883,116.3434766,2008-12-19 13:20:34,Friday,Clear,9,0.0589225609025087,35.353536541505235,9,8,9
MP-2026-095,P095,18-25,Female,40.37172,115.902539,2009-01-27 14:09:45,Tuesday,Rain,9,0.0009318946885348,0.6709641757450845,9,4,9
MP-2026-096,P096,18-25,Male,39.978776122,116.3316439,2011-08-11 00:49:25,Thursday,Clear,9,0.0017485607124428,1.258963712958871,9,1,9
MP-2026-097,P097,26-35,Male,39.877037,116.342606,2008-11-18 02:07:29,Tuesday,Rain,1,0.0012816026529483,2.3068847753070503,1,3,1
MP-2026-098,P098,46-60,Male,39.9539449,116.45217,2008-07-29 13:43:56,Tuesday,Rain,9,0.0132129457588428,23.78330236591708,9,6,9
MP-2026-099,P099,18-25,Not Specified,39.994926,116.326769,2009-05-24 12:29:39,Sunday,Clear,9,0.0006870658693102,0.8244790431722725,9,3,9
MP-2026-100,P100,46-60,Female,30.5404933,114.3696149,2009-05-14 06:59:13,Thursday,Clear,2,0.0122895957656372,22.121272378147,2,2,2
